TransID,CustID,TransTotal,TransNumItems,TransDesc
1,2,1002.8586,1,rlswjyaidfcjqcpcrrtoblrfsgxqufkv
3,10,1321.7137,10,lcxcpcbfqaxdlvzpekfdkrlwptfwustlowpbcfnaqmxe
6,9,761.6328,9,xynojfplkronubkonjgbacwzciekcuftftbcmpdq
8,8,1130.037,8,spdaxgtdbiymvgtyiifmuwaukygmqwibovnyyvnlfrorr
9,10,1347.1846,3,cdjvgesixdfsgqvztsitblwtgvrqqqylsbjkqzcivqggbob
10,8,862.2707,12,nqcuwemuhmsludprskveyuatcmsiqxvrcud
11,10,917.2205,8,skuqndvocmphqloduwndhizqzfs
13,4,652.4469,10,hkzfbzqlnffuntafyopvtcmbmeqhdmtwlhpxftgtvhvyidp
15,8,1252.3114,1,iuuvjesahayuhbjocxahcpyolxiduandtgl
17,10,1664.037,6,xhdxstyfzouxbpkmzvfcvfexllnnrqiwaeldjrxrgkp
18,10,1788.9913,15,gyajylqntreeybbbzrziysaaxxrfvcsmquccdzvw
20,2,1519.8851,12,lxfitrdirneuczfnrjoarpgklyr
21,8,1843.8877,11,arxwyfbpzeudxshctqpdzbv
23,6,1673.8156,12,wpmsvnxifrfbqyyylwomxebaqgrrbh
24,6,1782.5253,8,mnzwtgqrzcqvbnepwplypxexwiuiynmsxlevxuslrlgurzztt
26,8,638.86194,4,mukhbmhsrytesfzdjaannhwdkpjvnwrqnxktiqkajo
28,8,1708.0905,15,iblxcrahgcerqtgvbbfczrkvtecayvdoyu
29,1,1526.8892,1,wprckkdpdupxlgeorqmzzxtm
30,6,1818.0261,15,xbhltbeyvjtfwdeoxndcaihgoacsnvvtowyakrj
